        1 [0x00400000]	0x8fa40000  lw $4, 0($29)                   ; exceptions.s:183: lw $a0 0($sp)		# argc
        1 [0x00400004]	0x27a50004  addiu $5, $29, 4                ; exceptions.s:184: addiu $a1 $sp 4		# argv
        1 [0x00400008]	0x24a60004  addiu $6, $5, 4                 ; exceptions.s:185: addiu $a2 $a1 4		# envp
        0 [0x800002b0]	0x3c019000  lui $1, -28672 [non_intrpt_str] ; spimbot.s:222: la     $a0, non_intrpt_str
        0 [0x800002b4]	0x34240214  ori $4, $1, 532 [non_intrpt_str]
        0 [0x800002b8]	0x0000000c  syscall                         ; spimbot.s:223: syscall                              # Print non-interrupt error message
     4938 [0x800002bc]	0x3c019000  lui $1, -28672 [chunkIH]        ; spimbot.s:226: la     $k0, chunkIH
     4938 [0x800002c0]	0x343a0208  ori $26, $1, 520 [chunkIH]
     4938 [0x800002c4]	0x8f440000  lw $4, 0($26)                   ; spimbot.s:227: lw     $a0, 0($k0)                   # Restore $a0
     4938 [0x800002c8]	0x8f450004  lw $5, 4($26)                   ; spimbot.s:228: lw     $a1, 4($k0)                   # Restore $a1
     4938 [0x800002cc]	0x8f420008  lw $2, 8($26)                   ; spimbot.s:229: lw     $v0, 8($k0)                   # Restore $v0
     4938 [0x800002d0]	0x001b0821  addu $1, $0, $27                ; spimbot.s:231: move   $at, $k1                      # Restore $at
     4938 [0x800002d4]	0x42000018  eret                            ; spimbot.s:233: eret                                 # Return
        0 [0x800002d8]	0x70842002  mul $4, $4, $4                  ; spimbot.s:242: mul    $a0, $a0, $a0                 # x^2
        0 [0x800002dc]	0x70a52802  mul $5, $5, $5                  ; spimbot.s:243: mul    $a1, $a1, $a1                 # y^2
        0 [0x800002e0]	0x00851020  add $2, $4, $5                  ; spimbot.s:244: add    $v0, $a0, $a1                 # x^2 + y^2
        0 [0x800002e4]	0x44820000  mtc1 $2, $f0                    ; spimbot.s:245: mtc1   $v0, $f0
        0 [0x800002e8]	0x46800020  cvt.s.w $f0, $f0                ; spimbot.s:246: cvt.s.w $f0, $f0                     # float(x^2 + y^2)
        0 [0x800002ec]	0x46000004  sqrt.s $f0, $f0                 ; spimbot.s:247: sqrt.s $f0, $f0                      # sqrt(x^2 + y^2)
        0 [0x800002f0]	0x46000024  cvt.w.s $f0, $f0                ; spimbot.s:248: cvt.w.s $f0, $f0                     # int(sqrt(...))
        0 [0x800002f4]	0x44020000  mfc1 $2, $f0                    ; spimbot.s:249: mfc1   $v0, $f0
        0 [0x800002f8]	0x03e00008  jr $31                          ; spimbot.s:250: jr     $ra
        0 [0x800002fc]	0x34020000  ori $2, $0, 0                   ; spimbot.s:255: li     $v0, 0                        # angle = 0;
        0 [0x80000300]	0x00044021  addu $8, $0, $4                 ; spimbot.s:257: abs    $t0, $a0                      # get absolute values
        0 [0x80000304]	0x04810002  bgez $4 8
        0 [0x80000308]	0x00044022  sub $8, $0, $4
        0 [0x8000030c]	0x00054821  addu $9, $0, $5                 ; spimbot.s:258: abs    $t1, $a1
        0 [0x80000310]	0x04a10002  bgez $5 8
        0 [0x80000314]	0x00054822  sub $9, $0, $5
        0 [0x80000318]	0x0109082a  slt $1, $8, $9                  ; spimbot.s:259: ble    $t1, $t0, no_TURN_90          # Branch if(abs(y) < abs(x))
        0 [0x8000031c]	0x10200005  beq $1, $0, 20 [no_TURN_90-0x8000031c]
        0 [0x80000320]	0x00054021  addu $8, $0, $5                 ; spimbot.s:261: move   $t0, $a1                      # int temp = y;
        0 [0x80000324]	0x00042822  sub $5, $0, $4                  ; spimbot.s:262: neg    $a1, $a0                      # y = -x;
        0 [0x80000328]	0x00082021  addu $4, $0, $8                 ; spimbot.s:263: move   $a0, $t0                      # x = temp;
        0 [0x8000032c]	0x3402005a  ori $2, $0, 90                  ; spimbot.s:264: li     $v0, 90                       # angle = 90;
        0 [0x80000330]	0x04810002  bgez $4 8 [pos_x-0x80000330]    ; spimbot.s:267: bgez   $a0, pos_x                    # skip if (x >= 0)
        0 [0x80000334]	0x204200b4  addi $2, $2, 180                ; spimbot.s:269: add    $v0, $v0, 180                 # angle += 180;
        0 [0x80000338]	0x44840000  mtc1 $4, $f0                    ; spimbot.s:272: mtc1   $a0, $f0
        0 [0x8000033c]	0x44850800  mtc1 $5, $f1                    ; spimbot.s:273: mtc1   $a1, $f1
        0 [0x80000340]	0x46800020  cvt.s.w $f0, $f0                ; spimbot.s:274: cvt.s.w $f0, $f0                     # convert from ints to floats
        0 [0x80000344]	0x46800860  cvt.s.w $f1, $f1                ; spimbot.s:275: cvt.s.w $f1, $f1
        0 [0x80000348]	0x46000803  div.s $f0, $f1, $f0             ; spimbot.s:277: div.s  $f0, $f1, $f0                 # float v = (float) y / (float) x;
        0 [0x8000034c]	0x46000042  mul.s $f1, $f0, $f0             ; spimbot.s:279: mul.s  $f1, $f0, $f0                 # v^^2
        0 [0x80000350]	0x46000882  mul.s $f2, $f1, $f0             ; spimbot.s:280: mul.s  $f2, $f1, $f0                 # v^^3
        0 [0x80000354]	0x3c011001  lui $1, 4097                    ; spimbot.s:281: l.s    $f3, three                    # load 5.0
        0 [0x80000358]	0xc4230000  lwc1 $f3, 0($1)
        0 [0x8000035c]	0x460310c3  div.s $f3, $f2, $f3             ; spimbot.s:282: div.s  $f3, $f2, $f3                 # v^^3/3
        0 [0x80000360]	0x46030181  sub.s $f6, $f0, $f3             ; spimbot.s:283: sub.s  $f6, $f0, $f3                 # v - v^^3/3
        0 [0x80000364]	0x46020902  mul.s $f4, $f1, $f2             ; spimbot.s:285: mul.s  $f4, $f1, $f2                 # v^^5
        0 [0x80000368]	0x3c011001  lui $1, 4097                    ; spimbot.s:286: l.s    $f5, five                     # load 3.0
        0 [0x8000036c]	0xc4250004  lwc1 $f5, 4($1)
        0 [0x80000370]	0x46052143  div.s $f5, $f4, $f5             ; spimbot.s:287: div.s  $f5, $f4, $f5                 # v^^5/5
        0 [0x80000374]	0x46053180  add.s $f6, $f6, $f5             ; spimbot.s:288: add.s  $f6, $f6, $f5                 # value = v - v^^3/3 + v^^5/5
        0 [0x80000378]	0x3c011001  lui $1, 4097                    ; spimbot.s:290: l.s     
        0 [0x8000037c]	0xc4280008  lwc1 $f8, 8($1)
        0 [0x80000380]	0x46083183  div.s $f6, $f6, $f8             ; spimbot.s:291: div.s  $f6, $f6, $f8                 # value / PI
        0 [0x80000384]	0x3c011001  lui $1, 4097                    ; spimbot.s:292: l.s    $f7, f180                     # load 180.0
        0 [0x80000388]	0xc427000c  lwc1 $f7, 12($1)
        0 [0x8000038c]	0x46073182  mul.s $f6, $f6, $f7             ; spimbot.s:293: mul.s  $f6, $f6, $f7                 # 180.0 * value / PI
        0 [0x80000390]	0x460031a4  cvt.w.s $f6, $f6                ; spimbot.s:295: cvt.w.s $f6, $f6                     # convert "delta" back to integer
        0 [0x80000394]	0x44083000  mfc1 $8, $f6                    ; spimbot.s:296: mfc1   $t0, $f6
        0 [0x80000398]	0x00481020  add $2, $2, $8                  ; spimbot.s:297: add    $v0, $v0, $t0                 # angle += delta
        0 [0x8000039c]	0x03e00008  jr $31                          ; spimbot.s:299: jr     $ra
